[2024-02-22 00:50:58] CUDA Available: True
[2024-02-22 00:50:58] CUDA Version: 11.3
[2024-02-22 00:50:58] PyTorch Version: 1.10.2+cu113
[2024-02-22 00:50:58] CUDA Device Name: NVIDIA GeForce RTX 4080
[2024-02-22 00:50:58] Using device: cuda
[2024-02-22 00:50:58] Initializing dataset...
[2024-02-22 00:51:01] Dataset initialized.
[2024-02-22 00:51:01] No checkpoint found at 'embeddings/checkpoints/hl_500batch_newadvancedinductive_target.pth.tar', starting from scratch.
[2024-02-22 05:14:29] Epoch 77, total_train_loss: 312.85564136505127, total_val_loss: 79.83543086051941
[2024-02-22 05:17:51] Epoch 78, total_train_loss: 313.030873298645, total_val_loss: 79.83510100841522
[2024-02-22 05:21:16] Epoch 79, total_train_loss: 313.02676236629486, total_val_loss: 79.83088052272797
[2024-02-22 05:24:41] Epoch 80, total_train_loss: 312.87633740901947, total_val_loss: 79.83474957942963
[2024-02-22 05:28:04] Epoch 81, total_train_loss: 312.89896738529205, total_val_loss: 79.83529388904572
[2024-02-22 05:31:28] Epoch 82, total_train_loss: 312.95215916633606, total_val_loss: 79.84072577953339
[2024-02-22 05:34:53] Epoch 83, total_train_loss: 312.9466037750244, total_val_loss: 79.84939658641815
[2024-02-22 05:38:15] Epoch 84, total_train_loss: 312.90762770175934, total_val_loss: 79.83021187782288
[2024-02-22 05:41:39] Epoch 85, total_train_loss: 312.92497289180756, total_val_loss: 79.83394312858582
[2024-02-22 05:45:02] Epoch 86, total_train_loss: 312.97271633148193, total_val_loss: 79.8377696275711
[2024-02-22 05:48:26] Epoch 87, total_train_loss: 312.9674744606018, total_val_loss: 79.83650922775269
[2024-02-22 05:51:50] Epoch 88, total_train_loss: 313.0015677213669, total_val_loss: 79.84634852409363
[2024-02-22 05:55:36] Epoch 89, total_train_loss: 313.014976143837, total_val_loss: 79.83692407608032
[2024-02-22 05:59:21] Epoch 90, total_train_loss: 312.8668565750122, total_val_loss: 79.82468008995056
[2024-02-22 06:03:06] Epoch 91, total_train_loss: 312.94041073322296, total_val_loss: 79.83152759075165
[2024-02-22 06:06:53] Epoch 92, total_train_loss: 312.91444432735443, total_val_loss: 79.85585415363312
[2024-02-22 06:10:38] Epoch 93, total_train_loss: 312.99241721630096, total_val_loss: 79.82503128051758
[2024-02-22 06:14:24] Epoch 94, total_train_loss: 312.854455947876, total_val_loss: 79.84081995487213
[2024-02-22 06:18:11] Epoch 95, total_train_loss: 312.9319648742676, total_val_loss: 79.83689677715302
[2024-02-22 06:21:55] Epoch 96, total_train_loss: 312.88471353054047, total_val_loss: 79.84971916675568
[2024-02-22 06:25:41] Epoch 97, total_train_loss: 312.8401154279709, total_val_loss: 79.84779787063599
[2024-02-22 06:29:25] Epoch 98, total_train_loss: 312.8442542552948, total_val_loss: 79.84086692333221
[2024-02-22 06:33:09] Epoch 99, total_train_loss: 312.8221101760864, total_val_loss: 79.85258889198303
